Fase,Nombre_Fase,Acción,Duración_Semanas,Costo_Estimado_USD,ROI_Esperado_Mensual
1,Fundamentos y Comunicación,Configurar ChatGPT para consultas básicas,1,50,200
1,Fundamentos y Comunicación,Implementar chatbot web simple,2,200,500
1,Fundamentos y Comunicación,Capacitar equipo en IA básica,1,0,0
2,Automatización Básica,Automatizar recordatorios de citas,2,300,800
2,Automatización Básica,Digitalizar formularios pacientes,1,100,300
2,Automatización Básica,Configurar respuestas automáticas WhatsApp,2,150,400
3,Diagnóstico Asistido,Integrar análisis básico de radiografías,3,1500,2000
3,Diagnóstico Asistido,Implementar educación automática pacientes,2,500,1000
3,Diagnóstico Asistido,Configurar seguimiento post-tratamiento,2,300,600
4,Predicción Avanzada,Integrar predicción de tratamientos,4,2000,3000
4,Predicción Avanzada,Implementar planificación quirúrgica IA,4,3000,5000
4,Predicción Avanzada,Desarrollar métricas y analytics avanzados,3,1000,2000
